Series_Title,Overview,clean_text
Sen to Chihiro no kamikakushi,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Sen to Chihiro no kamikakushi During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts. Animation, Adventure, Family Hayao Miyazaki Daveigh Chase Suzanne Pleshette Miyu Irino Rumi Hiiragi"
Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Saving Private Ryan Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action. Drama, War Steven Spielberg Tom Hanks Matt Damon Tom Sizemore Edward Burns"
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","The Green Mile The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift. Crime, Drama, Fantasy Frank Darabont Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt"
La vita è bella,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","La vita è bella When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp. Comedy, Drama, Romance Roberto Benigni Roberto Benigni Nicoletta Braschi Giorgio Cantarini Giustino Durano"
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Se7en Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives. Crime, Drama, Mystery David Fincher Morgan Freeman Brad Pitt Kevin Spacey Andrew Kevin Walker"
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","The Silence of the Lambs A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims. Crime, Drama, Thriller Jonathan Demme Jodie Foster Anthony Hopkins Lawrence A. Bonney Kasi Lemmons"
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Star Wars Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader. Action, Adventure, Fantasy George Lucas Mark Hamill Harrison Ford Carrie Fisher Alec Guinness"
Seppuku,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Seppuku When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity. Action, Drama, Mystery Masaki Kobayashi Tatsuya Nakadai Akira Ishihama Shima Iwashita Tetsurô Tanba"
Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Shichinin no samurai A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves. Action, Adventure, Drama Akira Kurosawa Toshirô Mifune Takashi Shimura Keiko Tsushima Yukiko Shimazaki"
It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"It's a Wonderful Life An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed. Drama, Family, Fantasy Frank Capra James Stewart Donna Reed Lionel Barrymore Thomas Mitchell"
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Joker In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker. Crime, Drama, Thriller Todd Phillips Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy"
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Whiplash A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential. Drama, Music Damien Chazelle Miles Teller J.K. Simmons Melissa Benoist Paul Reiser"
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","The Intouchables After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver. Biography, Comedy, Drama Olivier Nakache Éric Toledano François Cluzet Omar Sy Anne Le Ny"
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","The Prestige After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other. Drama, Mystery, Sci-Fi Christopher Nolan Christian Bale Hugh Jackman Scarlett Johansson Michael Caine"
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"The Departed An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston. Crime, Drama, Thriller Martin Scorsese Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg"
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"The Pianist A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II. Biography, Drama, Music Roman Polanski Adrien Brody Thomas Kretschmann Frank Finlay Emilia Fox"
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Gladiator A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery. Action, Adventure, Drama Ridley Scott Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed"
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,American History X A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did. Drama Tony Kaye Edward Norton Edward Furlong Beverly D'Angelo Jennifer Lien
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","The Usual Suspects A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup. Crime, Mystery, Thriller Bryan Singer Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin"
Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Léon Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade. Action, Crime, Drama Luc Besson Jean Reno Gary Oldman Natalie Portman Danny Aiello"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","The Lion King Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself. Animation, Adventure, Drama Roger Allers Rob Minkoff Matthew Broderick Jeremy Irons James Earl Jones"
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Terminator 2: Judgment Day A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg. Action, Sci-Fi James Cameron Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick"
Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Nuovo Cinema Paradiso A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist. Drama, Romance Giuseppe Tornatore Philippe Noiret Enzo Cannavale Antonella Attili Isa Danieli"
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II.,"Hotaru no haka A young boy and his little sister struggle to survive in Japan during World War II. Animation, Drama, War Isao Takahata Tsutomu Tatsumi Ayano Shiraishi Akemi Yamaguchi Yoshiko Shinohara"
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Back to the Future Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown. Adventure, Comedy, Sci-Fi Robert Zemeckis Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover"
Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Once Upon a Time in the West A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad. Western Sergio Leone Henry Fonda Charles Bronson Claudia Cardinale Jason Robards
Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Psycho A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother. Horror, Mystery, Thriller Alfred Hitchcock Anthony Perkins Janet Leigh Vera Miles John Gavin"
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Casablanca A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco. Drama, Romance, War Michael Curtiz Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains"
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Modern Times The Tramp struggles to live in modern industrial society with the help of a young homeless woman. Comedy, Drama, Family Charles Chaplin Charles Chaplin Paulette Goddard Henry Bergman Tiny Sandford"
City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","City Lights With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically. Comedy, Drama, Romance Charles Chaplin Charles Chaplin Virginia Cherrill Florence Lee Harry Myers"
Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","Capharnaüm While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect. Drama Nadine Labaki Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Kawsar Al Haddad"
Ayla: The Daughter of War,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","Ayla: The Daughter of War In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary » Biography, Drama, History Can Ulkay Erdem Can Çetin Tekindor Ismail Hacioglu Kyung-jin Lee"
Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Vikram Vedha Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict. Action, Crime, Drama Gayatri Pushkar Madhavan Vijay Sethupathi Shraddha Srinath"
Kimi no na wa.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Kimi no na wa. Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart? Animation, Drama, Fantasy Makoto Shinkai Ryûnosuke Kamiki Mone Kamishiraishi Ryô Narita Aoi Yûki"
Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Dangal Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression. Action, Biography, Drama Nitesh Tiwari Aamir Khan Sakshi Tanwar Fatima Sana Shaikh Sanya Malhotra"
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Spider-Man: Into the Spider-Verse Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities. Animation, Action, Adventure Bob Persichetti Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson"
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Avengers: Endgame After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. Action, Adventure, Drama Anthony Russo Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo"
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Avengers: Infinity War The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. Action, Adventure, Sci-Fi Anthony Russo Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Coco Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. Animation, Adventure, Family Lee Unkrich Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt"
Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Django Unchained With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Drama, Western Quentin Tarantino Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington"
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","The Dark Knight Rises Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane. Action, Adventure Christopher Nolan Christian Bale Tom Hardy Anne Hathaway Gary Oldman"
3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","3 Idiots Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"". Comedy, Drama Rajkumar Hirani Aamir Khan Madhavan Mona Singh Sharman Joshi"
Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Taare Zameen Par An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school. Drama, Family Aamir Khan Amole Gupte Darsheel Safary Aamir Khan Tisca Chopra"
WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","WALL·E In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind. Animation, Adventure, Family Andrew Stanton Ben Burtt Elissa Knight Jeff Garlin Fred Willard"
The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","The Lives of Others In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives. Drama, Mystery, Thriller Florian Henckel von Donnersmarck Ulrich Mühe Martina Gedeck Sebastian Koch Ulrich Tukur"
Oldeuboi,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Oldeuboi After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days. Action, Drama, Mystery Chan-wook Park Choi Min-sik Yoo Ji-Tae Kang Hye-jeong Kim Byeong-Ok"
Memento,A man with short-term memory loss attempts to track down his wife's murderer.,"Memento A man with short-term memory loss attempts to track down his wife's murderer. Mystery, Thriller Christopher Nolan Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior"
Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Mononoke-hime On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime. Animation, Action, Adventure Hayao Miyazaki Yôji Matsuda Yuriko Ishida Yûko Tanaka Billy Crudup"
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Once Upon a Time in America A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life. Crime, Drama Sergio Leone Robert De Niro James Woods Elizabeth McGovern Treat Williams"
Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","Raiders of the Lost Ark In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers. Action, Adventure Steven Spielberg Harrison Ford Karen Allen Paul Freeman John Rhys-Davies"
The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","The Shining A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future. Drama, Horror Stanley Kubrick Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers"
Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Apocalypse Now A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god. Drama, Mystery, War Francis Ford Coppola Martin Sheen Marlon Brando Robert Duvall Frederic Forrest"
Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Alien After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun. Horror, Sci-Fi Ridley Scott Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright"
Anand,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.","Anand The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend. Drama, Musical Hrishikesh Mukherjee Rajesh Khanna Amitabh Bachchan Sumita Sanyal Ramesh Deo"
Tengoku to jigoku,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,"Tengoku to jigoku An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom. Crime, Drama, Mystery Akira Kurosawa Toshirô Mifune Yutaka Sada Tatsuya Nakadai Kyôko Kagawa"
